
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
90:4C:81:60:B0:72, 2021-04-05 17:35:28, 2021-04-05 17:35:28, 161, 720, WPA2, CCMP, MGT, -81,        1,        0,   0.  0.  0.  0,   0, , 
90:4C:81:60:B0:70, 2021-04-05 17:35:28, 2021-04-05 17:35:28, 161, 720, OPN, ,   , -80,        1,        0,   0.  0.  0.  0,   6, GNBA-F, 
90:4C:81:60:B0:71, 2021-04-05 17:35:28, 2021-04-05 17:35:28, 161, 720, OPN, ,   , -80,        1,        0,   0.  0.  0.  0,   6, GNBA-S, 
90:4C:81:65:52:72, 2021-04-05 17:35:28, 2021-04-05 17:35:28, 40,  -1, WPA, ,   , -79,        0,        5,   0.  0.  0.  0,   0, , 
90:4C:81:60:74:01, 2021-04-05 17:34:45, 2021-04-05 17:35:24, -1,  -1, , ,   , -78,        0,        0,   0.  0.  0.  0,   6, GNBA-S, 
74:AC:B9:2E:30:8F, 2021-04-05 17:35:28, 2021-04-05 17:35:28, 157, 1170, WPA2, CCMP, PSK, -78,        0,        0,   0.  0.  0.  0,  21, 19th Company Wardroom, 
7E:AC:B9:2E:30:8F, 2021-04-05 17:35:28, 2021-04-05 17:35:28, 157, 1170, WPA2, CCMP, PSK, -77,        0,        0,   0.  0.  0.  0,  31, 19th Company Wardroom-Router-5G, 
90:4C:81:65:52:62, 2021-04-05 17:35:28, 2021-04-05 17:35:28,  2,  -1, WPA, ,   , -76,        0,        1,   0.  0.  0.  0,   0, , 
90:4C:81:60:5F:C0, 2021-04-05 17:34:51, 2021-04-05 17:35:28,  1,  54, OPN, ,   , -73,        0,        0,   0.  0.  0.  0,   6, GNBA-F, 
2A:F5:A2:ED:F9:BA, 2021-04-05 17:35:28, 2021-04-05 17:35:28, 48, 780, OPN, ,   , -73,        0,        0,   0.  0.  0.  0,  25, 16thCompanyWardroom-guest, 
90:4C:81:60:5F:D0, 2021-04-05 17:35:28, 2021-04-05 17:35:28, 40, 720, OPN, ,   , -71,        1,        0,   0.  0.  0.  0,   6, GNBA-F, 
90:4C:81:60:5F:D1, 2021-04-05 17:35:28, 2021-04-05 17:35:28, 40, 720, OPN, ,   , -71,        1,        0,   0.  0.  0.  0,   6, GNBA-S, 
90:4C:81:60:5F:D2, 2021-04-05 17:35:28, 2021-04-05 17:35:28, 40, 720, WPA2, CCMP, MGT, -70,        1,        0,   0.  0.  0.  0,   0, , 
24:F5:A2:ED:F9:BA, 2021-04-05 17:35:28, 2021-04-05 17:35:28, 48, 780, , CCMP TKIP, PSK, -68,        1,        0,   0.  0.  0.  0,  19, 16thCompanyWardroom, 
78:8A:20:4C:3E:CE, 2021-04-05 17:34:46, 2021-04-05 17:35:44, -1,  -1, , ,   , -67,        0,        0,   0.  0.  0.  0,   0, , 
74:AC:B9:2D:30:8F, 2021-04-05 17:35:28, 2021-04-05 17:35:28, 11,  54, WPA2, CCMP, PSK, -66,        0,        0,   0.  0.  0.  0,  21, 19th Company Wardroom, 
90:4C:81:60:74:10, 2021-04-05 17:35:28, 2021-04-05 17:35:28, 48, 720, OPN, ,   , -66,        0,        0,   0.  0.  0.  0,   6, GNBA-F, 
90:4C:81:60:74:11, 2021-04-05 17:35:28, 2021-04-05 17:35:28, 48, 720, OPN, ,   , -66,        0,        0,   0.  0.  0.  0,   6, GNBA-S, 
B6:B6:86:16:FC:F4, 2021-04-05 17:35:28, 2021-04-05 17:35:28,  6,  54, WPA2, CCMP, PSK, -64,        0,        0,   0.  0.  0.  0,  28, DIRECT-F4-HP ENVY Photo 7100, 
D6:6D:6D:E5:87:BA, 2021-04-05 17:35:28, 2021-04-05 17:35:28, 161, 360, WPA2, CCMP, PSK, -63,        0,        0,   0.  0.  0.  0,  28, DIRECT-JIWK2TK821004VMIDmsBM, 
A0:63:91:CA:67:47, 2021-04-05 17:35:28, 2021-04-05 17:35:28, 44, 1170, WPA2, CCMP, PSK, -53,        0,        0,   0.  0.  0.  0,  16, 17thCoWardroom5G, 
A0:63:91:CA:67:48, 2021-04-05 17:34:55, 2021-04-05 17:35:28, 11,  -1, , ,   , -48,        0,        0,   0.  0.  0.  0,   0, , 
EA:41:90:70:43:63, 2021-04-05 17:35:28, 2021-04-05 17:35:28,  6,  54, WPA2, CCMP, PSK, -25,        0,        0,   0.  0.  0.  0,   6, iPhone, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
60:5B:B4:6A:15:AB, 2021-04-05 17:35:34, 2021-04-05 17:35:34, -89,        1, (not associated) ,Garrison’s Cellular Touch Pad
D4:6D:6D:E3:B5:A7, 2021-04-05 17:35:31, 2021-04-05 17:35:31, -87,        1, (not associated) ,GNBA-N
D8:F2:CA:F2:75:FB, 2021-04-05 17:34:45, 2021-04-05 17:34:45, -85,        2, (not associated) ,GNBA-N,GNBA-M
7E:80:21:77:A2:FE, 2021-04-05 17:34:49, 2021-04-05 17:34:49, -85,        1, (not associated) ,
30:59:B7:6C:73:29, 2021-04-05 17:34:55, 2021-04-05 17:34:55, -85,        1, A0:63:91:CA:67:48,
3E:91:7B:0A:EE:E9, 2021-04-05 17:34:55, 2021-04-05 17:34:55, -83,        1, (not associated) ,yeet
72:1A:C1:FD:E6:37, 2021-04-05 17:34:58, 2021-04-05 17:34:58, -83,        1, (not associated) ,
0C:54:15:40:BE:B5, 2021-04-05 17:35:20, 2021-04-05 17:35:20, -83,        1, (not associated) ,GNBA-N
A6:DF:12:79:A2:8A, 2021-04-05 17:35:24, 2021-04-05 17:35:24, -83,        2, (not associated) ,viasat
C8:58:C0:5C:3E:CE, 2021-04-05 17:35:32, 2021-04-05 17:35:32, -83,        5, (not associated) ,GNBA-N,GNBA-M
D0:C6:37:06:97:2B, 2021-04-05 17:35:33, 2021-04-05 17:35:34, -83,        6, (not associated) ,GNBA-N,GNBA-M
68:FF:7B:17:BD:C3, 2021-04-05 17:35:37, 2021-04-05 17:35:39, -83,        4, (not associated) ,16thCoWardroom
00:28:F8:FC:0B:CA, 2021-04-05 17:34:45, 2021-04-05 17:34:45, -81,       10, (not associated) ,GNBA-N,GNBA-M,feedthefamily
AA:5B:DD:A5:09:37, 2021-04-05 17:34:49, 2021-04-05 17:34:49, -81,        1, (not associated) ,
C8:58:C0:5B:9C:85, 2021-04-05 17:34:51, 2021-04-05 17:34:52, -81,        5, (not associated) ,GNBA-N
D6:24:1A:6E:D4:D1, 2021-04-05 17:35:09, 2021-04-05 17:35:09, -81,        1, (not associated) ,
0E:0C:DA:68:33:2B, 2021-04-05 17:35:29, 2021-04-05 17:35:29, -81,        1, (not associated) ,
C8:58:C0:5D:C4:1F, 2021-04-05 17:34:45, 2021-04-05 17:34:45, -79,        1, (not associated) ,
26:F7:A6:22:53:23, 2021-04-05 17:34:57, 2021-04-05 17:34:57, -79,        1, (not associated) ,
3A:59:53:BE:6D:36, 2021-04-05 17:34:57, 2021-04-05 17:34:57, -79,        2, (not associated) ,
6A:55:A0:6E:ED:9A, 2021-04-05 17:35:09, 2021-04-05 17:35:09, -79,        1, (not associated) ,
D2:77:B2:36:BC:CB, 2021-04-05 17:35:28, 2021-04-05 17:35:28, -79,        1, (not associated) ,
3E:30:95:5A:59:48, 2021-04-05 17:35:31, 2021-04-05 17:35:31, -79,        1, (not associated) ,
C6:DE:D1:0C:56:FF, 2021-04-05 17:35:37, 2021-04-05 17:35:37, -79,        2, (not associated) ,
F6:35:37:36:A4:20, 2021-04-05 17:35:38, 2021-04-05 17:35:38, -79,        1, (not associated) ,viasat
C8:58:C0:A5:0D:39, 2021-04-05 17:35:04, 2021-04-05 17:35:04, -77,       11, (not associated) ,GNBA-M,GNBA-N
96:8B:B2:29:0C:5A, 2021-04-05 17:35:12, 2021-04-05 17:35:12, -77,        2, (not associated) ,
D0:C6:37:EF:47:23, 2021-04-05 17:35:16, 2021-04-05 17:35:16, -77,        1, (not associated) ,GNBA-N
DE:8A:DD:6E:0B:BE, 2021-04-05 17:35:29, 2021-04-05 17:35:29, -77,        1, (not associated) ,
2A:07:E0:B1:8C:BD, 2021-04-05 17:35:32, 2021-04-05 17:35:32, -77,        1, (not associated) ,
A0:6A:44:89:0E:77, 2021-04-05 17:34:45, 2021-04-05 17:35:24, -75,       49, 90:4C:81:60:74:01,GNBA-S
22:91:05:F7:5B:76, 2021-04-05 17:34:46, 2021-04-05 17:34:46, -75,        1, (not associated) ,
96:DA:27:54:29:92, 2021-04-05 17:34:49, 2021-04-05 17:34:49, -75,        1, (not associated) ,
2E:43:95:F5:A4:AD, 2021-04-05 17:35:27, 2021-04-05 17:35:27, -75,        1, (not associated) ,
00:28:F8:DC:96:32, 2021-04-05 17:35:28, 2021-04-05 17:35:30, -75,       13, (not associated) ,GNBA-N,GNBA-M
DD:AD:43:3D:B0:20, 2021-04-05 17:35:07, 2021-04-05 17:35:07, -73,        1, (not associated) ,
